scope,operator_or_method,route_class,nvidia_execution_path,source_file,in_full_config,int8_related_hint,note
aten,cat,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,ceil,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,ceil.out,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,ceil_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,celu,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,celu_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,clamp,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,clamp.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,clamp_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,clamp_.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,clamp_min,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,clamp_min_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,constant_pad_nd,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,contiguous,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,conv1d,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,conv1d.padding,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,conv2d,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
